json_filename,comment,model_mix_label,temperature,history_window,reset_between_episodes,decision_retries,model_0_full,model_1_full,model_2_full,elapsed_seconds,hostname,num_episodes,rounds_per_episode,decision_token_limit,reflection_token_limit,reflection_type,agent_0_total_score,agent_0_total_cooperations,agent_0_overall_coop_rate,agent_1_total_score,agent_1_total_cooperations,agent_1_overall_coop_rate,agent_2_total_score,agent_2_total_cooperations,agent_2_overall_coop_rate,mean_group_coop_rate
3agent_game_20260330_214736.json,baseline run,3L,0.7,10,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,4852.390443563461,tungsten,50,20,256,1024,standard,2429,694,0.694,2363,726,0.726,2307,740,0.74,0.7200000000000001
3agent_game_20260331_000658.json,baseline run,3L,0.7,10,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,7208.018007516861,tungsten,50,20,256,1024,standard,2433,742,0.742,2393,753,0.753,2433,734,0.734,0.743
3agent_game_20260331_070629.json,baseline run,3L,0.2,10,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,4786.714328050613,tungsten,50,20,256,1024,standard,2502,779,0.779,2510,782,0.782,2506,788,0.788,0.783
3agent_game_20260331_122730.json,baseline run,3L,0.2,10,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,8804.369081258774,tungsten,50,20,256,1024,standard,2777,855,0.855,2645,885,0.885,2707,867,0.867,0.8690000000000001
3agent_game_20260331_125226.json,W5_T02_ResetTrue,3L,0.2,5,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,8679.870012283325,tungsten,50,20,256,1024,standard,2524,766,0.766,2468,773,0.773,2450,771,0.771,0.77
3agent_game_20260331_160310.json,W20_T02_ResetTrue,3L,0.2,20,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,12655.939405679703,tungsten,50,20,256,1024,standard,2594,829,0.829,2592,817,0.817,2594,814,0.814,0.82
3agent_game_20260331_165003.json,W5_T07_ResetTrue,3L,0.7,5,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,13726.73160457611,tungsten,50,20,256,1024,standard,2563,730,0.73,2341,782,0.782,2451,750,0.75,0.754
3agent_game_20260331_170315.json,W20_T07_ResetTrue,3L,0.7,20,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,12775.56869673729,tungsten,50,20,256,1024,standard,2481,771,0.771,2467,783,0.783,2495,759,0.759,0.771
3agent_game_20260401_203418.json,W5_T02_ResetTrue,3L,0.2,5,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,22224.10636806488,tungsten,50,20,256,1024,standard,2308,715,0.715,2386,693,0.693,2314,724,0.724,0.7106666666666666
3agent_game_20260401_203704.json,W20_T02_ResetTrue,3L,0.2,20,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,22343.86570596695,tungsten,50,20,256,1024,standard,2238,685,0.685,2334,649,0.649,2206,685,0.685,0.673
3agent_game_20260401_203905.json,W20_T07_ResetTrue,3L,0.7,20,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,22401.205509662628,tungsten,50,20,256,1024,standard,2363,755,0.755,2417,726,0.726,2429,722,0.722,0.7343333333333333
3agent_game_20260401_204047.json,W5_T07_ResetTrue,3L,0.7,5,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,22539.894681453705,tungsten,50,20,256,1024,standard,2309,702,0.702,2235,705,0.705,2343,659,0.659,0.6886666666666666
